name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,MealType,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
"Absolute Barbecues - Marathahalli, Bengaluru","3rd Floor, 90/4, Marathahalli Outer Ring Road Near Park Plaza, Bengaluru 560037 India",India,560037,Karnataka,Indian Barbecue Asian      ,"AB's is India's First WISH GRILL Restaurant.A place designed to take the adventure, excitement and joy of BARBECUING to all new heights.A place dedicated to you and your favourite people in the world – your GANGS.Where your job is to WISH. And ours is to make your wishes come TRUE – in unprecedented,flavour-packed, deliciously delightful ways!Why?… because what you like is more important than printed menus.… because you have a million moods and there should always be food to match.… because grillin' is not a way of cooking food, it's a way of life.… because taste counts; and you matter.",Vegetarian Friendly Vegan Options Halal Gluten Free Options,Noodle Pasta Cheesecake Crab Salad Curry Quail Prawns Octopus Duck Lamb Pesto Cakes Fish Paneer         ,Reservations Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Accepts Credit Cards Table Service Live Music                  ,12.95,77.7,"3rd Floor, 90/4, Marathahalli Outer Ring Road, Near Park Plaza, 560037",Lunch Dinner    ,816.0,+91 73373 36712,5993.0,82.0,4.5,4.19
Cuppa Redefined - HSR,"1237, Sri Sai Crystal 17th Cross 5th Main Rd, Hsr Layout, Bengaluru 560102 India",India,560102,Karnataka,American Cafe       ,"""We at cuppa.redefined are always there to look after your appetite. Select from our wide range of food menus & satiate your tastebuds! So, visit cuppa.redefined with your loved ones and enjoy the best food in the best environment. P.S. All our staff are vaccinated to ensure maximum safety against covid-19. We are in this together!""",Vegetarian Friendly Vegan Options  ,Burger                       ,Delivery Takeout Reservations Seating Digital Payments Accepts Credit Cards Table Service Live Music                     ,13.01,77.57,"1237, Sri Sai Crystal 17th Cross, 5th Main Rd, Hsr Layout, 560102",Breakfast Lunch Dinner Brunch Late Night ,25.0,+91 91081 64894,5993.0,231.0,5.0,3.49
Bharjari Oota,"18, Gandhi Bazar Main Road Basavanagudi, Bengaluru 560004 India",India,560004,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Table Service                          ,12.94,77.57,"18, Gandhi Bazar Main Road, Basavanagudi, 560004",Breakfast Lunch Dinner   ,21.0,+91 98801 41967,5993.0,755.0,4.0,3.15
The Big Barbeque,"No 163, 2nd Floor, Above Adyar Ananda Bhavan Niladri Nagar, Bengaluru 560100 India",India,560100,Karnataka,Italian Chinese Indian Mediterranean Barbecue Asian   ,"Build on the concept of live grill, The best Big Barbeque has opened in the Electronic City.To provide authentic taste of barbecue to our customers we have made our grills with precise detailing serving both veg and non veg barbecue along with wide variety of cuisines. One of our prime USP is that we offer the most variety in our buffet spread.",Vegetarian Friendly   ,Pasta Crab Salad Chili Curry Prawns Octopus Duck Pesto Fish Paneer             ,Reservations Seating Table Service                          ,12.95,77.7,"No 163, 2nd Floor, Above Adyar Ananda Bhavan Niladri Nagar, 560100",Lunch Dinner    ,45.0,+91 98214 58233,5993.0,222.0,4.5,3.51
Savoury Restaurant,"27 Mosque Road Next to Sangeetha Mobiles, Bengaluru 560005 India",India,560005,Karnataka,Indian Asian Middle Eastern Arabic     ,"Born at the turn of the millennium as the pioneers of Indo-Arab cuisine in South India. Today, Savoury is the destination of Arabian culinary delights across multiple nations.",Vegetarian Friendly Halal  ,Juice & Smoothies Fish Roti                     ,Delivery Takeout Reservations Buffet Private Dining Seating Parking Available Street Parking Valet Parking Free off-street parking Wheelchair Accessible Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards Table Service             ,13.0,77.62,"27 Mosque Road, Next to Sangeetha Mobiles, 560005",Breakfast Lunch Dinner Brunch  ,122.0,+91 94494 42222,5993.0,253.0,4.0,3.46
"Rajdhani Thali Restaurant, Bannerghatta Road, Bangalore","3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore, Bengaluru India",India,,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,Thali Roti                      ,Takeout Reservations Seating Table Service                         ,12.86,77.57,"3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Lunch Dinner    ,78.0,+91 80670 80088,6520.0,350.0,4.0,3.35
The Black Rabbit,"770, 12th Main Road 100 Feet Road, Bengaluru 560038 India",India,560038,Karnataka,Bar European Pub      ,,Vegetarian Friendly Vegan Options  ,Burger Salad Wings Lamb Fish Pork                  ,Reservations Outdoor Seating Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Table Service                     ,12.9,77.58,"770, 12th Main Road, 100 Feet Road, 560038",Lunch Dinner Brunch   ,202.0,+91 80 4241 5575,5993.0,205.0,4.0,3.58
Blr Brewing Co. - Electronic City,"Neeladri Road 4th Floor, Opposite To Wipro Gate 84, Bengaluru 560100 India",India,560100,Karnataka,Italian Indian Brew Pub Bar Barbecue Asian Pub  ,"One of the biggest brewery in electronic city & Bangalore, BLR Brewing Co. Our Ambience is combined of 5 elements Earth, Water, Air, Fire & Space. Beer makes you happy? We've got 14 taps and pouring finest craft beers, crafting best cocktails from awarded mixologists and serving food delicacies from across the globe cuisines in our restaurant / pub",Vegan Options   ,                       ,Delivery Takeout Reservations Outdoor Seating Seating Parking Available Television Serves Alcohol Full Bar Wine and Beer Digital Payments Free Wifi Accepts Credit Cards Table Service Live Music Dog Friendly Family style Sports bars           ,12.84,77.65,"Neeladri Road, 4th Floor, Opposite To Wipro Gate 84, 560100",Lunch Dinner Brunch Drinks  ,24.0,+91 63669 60335,5993.0,356.0,4.5,3.33
Chinita Real Mexican Food,"218 Double Road Near BDA Complex, Bengaluru 560038 India",India,560038,Karnataka,Mexican        ,REAL MEXICAN FOOD Fresh ingredients & authentic flavours made with love in India. Serving authentic Mexican food by Chef Candice Lock since 2012. Our restaurants Indiranagar Koramangala Whitefield.,Vegetarian Friendly Vegan Options Gluten Free Options ,Burrito Salad Tacos Chili Nachos Burrito Bowl Beef Pork Enchiladas               ,Delivery Takeout Reservations Seating Accepts Credit Cards Table Service                       ,12.98,77.64,"218 Double Road, Near BDA Complex, 560038",Lunch Dinner Brunch   ,109.0,+91 96865 51896,5993.0,202.0,4.5,3.59
Bheema's,"31 Asha Building Ground Floor Opposite State Bank Of India, Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,Chilli Chicken Chili Curry Thali                    ,Delivery Takeout Reservations Seating Table Service                        ,12.98,77.6,"31 Asha Building Ground Floor Opposite State Bank Of India, 560001",Lunch Dinner Late Night   ,162.0,+91 80 4112 2535,5993.0,186.0,4.0,3.62
